Sex,Age,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039
1,Birth,386.5113575,348.693272,340.4828981,332.1591817,324.0776812,316.0752375,308.4965804,301.102517,293.9400718,286.661917,279.7735764,272.6819614,266.2156128,259.7528943,253.4218035,247.666687,241.7222343,235.8271773,229.9556915,224.8470602,219.2721813,214.2243003,208.5320354,203.9290976,199.0571477
1,0,83.98740189,75.90046985,74.14106457,72.52248752,70.73286839,68.85870947,67.09759309,65.66519202,64.02734401,62.73050758,60.84122005,59.515706,58.25033869,56.96534689,55.38719414,53.7845721,52.87968896,51.69124236,50.2179973,49.18521765,48.10746917,46.73966611,45.57286172,44.37179729,43.38751608
1,1,25.01946296,22.60027319,22.23596355,21.77161575,20.85508294,20.45497713,19.85400046,19.28463641,18.97970853,18.44466003,18.17794776,17.7088992,17.26399283,17.07658488,16.40214193,16.19515402,15.73994702,15.51770959,14.79864144,14.55289857,14.29353593,14.02104123,13.73437715,13.19530247,12.88693623
1,2,15.51198359,14.00213653,13.58147092,13.41728245,12.79733815,12.45079191,12.11695283,11.56687824,11.51617663,11.23861492,10.96716051,10.71283183,10.48015796,10.26189306,10.05388403,9.842566941,9.622717311,9.157884336,8.686965209,8.450330166,8.207108805,8.19749205,7.939333866,7.913574178,7.640769234
1,3,12.14420168,10.51978245,10.32912682,10.07508395,9.891808346,9.555392488,9.237268977,8.687489291,8.398904783,8.12330217,7.858171903,7.83511127,7.586479944,7.353115586,7.129701147,7.151387727,6.932674171,6.707631128,6.71951082,6.487733378,6.250871516,6.249504246,6.002127154,5.989286365,5.731137989
1,4,10.44281164,9.475955946,9.075275923,8.847959768,8.318032638,7.880201241,7.808572837,7.505762489,7.211001103,7.170789074,6.901574035,6.641523755,6.62209367,6.376195537,6.143115694,6.154953317,5.936169556,5.714870808,5.726761874,5.497828358,5.504749642,5.268274927,5.027712271,5.021857035,4.772529321
1,5,9.564742886,8.705851057,8.260483734,7.884313926,7.38777728,7.31532463,7.118451025,6.811028027,6.75824083,6.469777751,6.195521115,6.168621645,5.911758725,5.894544246,5.65043579,5.653257454,5.428100094,5.207753872,5.222477543,4.995420864,5.004193991,4.533286251,4.535732019,4.534746901,4.291078133
1,6,8.757131893,7.819391602,7.472274247,7.29447808,6.937137968,6.654759401,6.56606802,6.364982802,6.065134695,6.018237667,5.735863486,5.704032038,5.442704882,5.424733009,5.173804557,5.166198969,4.933839561,4.943270091,4.722014978,4.498574662,4.27060448,4.278085034,4.045451841,3.80952381,3.808707658
1,7,8.044041125,7.272471634,6.820443304,6.489043131,6.335849291,6.22767695,5.926740743,5.821625398,5.616098179,5.565719043,5.522779062,5.244663555,5.215618406,4.957050696,4.940723087,4.691806932,4.684915976,4.452891919,4.226572461,4.239224128,4.014964007,4.023230607,3.793186015,3.560526578,3.562420736
1,8,7.201747967,6.513303422,6.283866415,6.072286933,5.992164646,5.852018829,5.752760174,5.439538349,5.323396327,5.358639101,5.069292399,5.03027748,4.994185341,4.730078094,4.474209713,4.22479674,4.212556226,4.206383889,3.974674311,3.982225221,3.75917768,3.769699626,3.77744253,3.54751662,3.55190157
