Sex,Age,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039
1,Birth,386.5113575,364.1381234,356.2945368,349.0764784,342.6033471,336.216342,330.7554222,325.4700163,320.6832261,316.073277,312.1464531,308.5553318,305.1163423,302.3955665,299.8091459,297.300134,295.546529,293.5580852,292.2728238,291.1803517,290.0105326,289.5006476,289.437688,289.1388918,288.9528368
1,0,83.98740189,79.41903468,77.88559278,76.23671871,74.41997099,73.25641815,72.20382801,70.99931536,70.07025084,69.00722171,68.08572064,67.25962819,66.50584345,65.97562055,65.63538087,65.02892813,64.63012666,64.18446077,63.93152007,63.37606749,63.24456796,63.28569125,62.77547266,62.93062139,62.79389873
1,1,25.01946296,23.59369179,23.23614545,22.76574053,22.33219259,21.92149183,21.79725645,21.46098682,21.14993138,20.84881018,19.86144845,19.63347651,19.43312845,19.25358658,19.31037812,19.11083802,18.90437055,18.9299253,18.94229158,18.69676279,18.67694465,18.63838151,18.8207134,18.74107997,18.64454181
1,2,15.51198359,14.48496883,14.3224199,13.91484117,13.78456449,13.43050507,13.08976671,12.77567127,12.48007987,12.43912008,12.16460862,11.90878821,11.67725961,11.7007381,11.49774956,11.53147613,11.31589402,11.33704803,11.35224569,11.117986,11.11634707,11.10462,11.08177385,11.04696401,11.23958246
1,3,12.14420168,10.98732834,10.80960325,10.56673322,10.38691249,10.04755434,9.968974606,9.655422123,9.601766725,9.321156875,9.290669309,9.026342668,9.013282732,9.018352347,8.560809092,8.34891798,8.13404913,8.151717855,8.166892858,8.177794882,8.1831091,8.181888187,8.173312692,8.156548149,8.131034004
1,4,10.44281164,9.712854845,9.540719091,9.326317073,9.052176009,8.619437077,8.2983906,7.991998314,7.934351655,7.65132894,7.618267654,7.593464874,7.335021177,7.324449485,7.32857055,7.106259904,7.128278117,7.148984844,6.925654295,6.938463011,6.947705341,6.952219076,6.951169235,6.943912344,6.929725416
1,5,9.564742886,8.947680253,8.732531986,8.58006827,8.10283933,7.559389982,7.609845667,7.299127998,7.242807892,6.951035944,6.91266209,6.882900502,6.62398925,6.604988654,6.595482566,6.599197726,6.376105192,6.395800565,6.414322469,6.42815819,6.201476428,6.209726342,6.213733307,6.212797886,6.206331891
1,6,8.757131893,8.06374759,7.95437563,7.529836979,7.39973361,7.130251876,6.809471001,6.855049968,6.551807814,6.501371308,6.454728447,6.181439515,6.154895035,6.134954849,6.117402363,5.873687525,5.876973782,5.888574046,5.906702453,5.923777569,5.699074613,5.709500609,5.717089811,5.720769253,5.719910293
1,7,8.044041125,7.514887355,7.307635627,6.969763244,6.57057205,6.458465722,6.401046927,6.306975029,6.10488684,6.05107104,6.004606734,5.961621466,5.691695105,5.667327855,5.649012717,5.632877227,5.624824224,5.393452349,5.404084548,5.42068013,5.436298401,5.447977734,5.457919441,5.465156066,5.468664552
1,8,7.201747967,6.763815092,6.525569356,6.558117674,6.231925917,6.086170815,5.983008257,5.912723471,5.807566291,5.846229547,5.553369084,5.510829979,5.471487602,5.44145585,5.41821557,5.400747182,5.15119941,5.143852512,5.146704472,5.156826114,5.17262459,5.187492484,5.198622838,5.208074409,5.214963152
