Sex,Age,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039,2039 - 2040,2040 - 2041,2041 - 2042,2042 - 2043,2043 - 2044,2044 - 2045,2045 - 2046,2046 - 2047,2047 - 2048,2048 - 2049,2049 - 2050,2050 - 2051,2051 - 2052,2052 - 2053,2053 - 2054,2054 - 2055,2055 - 2056,2056 - 2057,2057 - 2058,2058 - 2059,2059 - 2060,2060 - 2061,2061 - 2062,2062 - 2063,2063 - 2064,2064 - 2065,2065 - 2066,2066 - 2067,2067 - 2068,2068 - 2069,2069 - 2070,2070 - 2071,2071 - 2072,2072 - 2073,2073 - 2074,2074 - 2075,2075 - 2076,2076 - 2077,2077 - 2078,2078 - 2079,2079 - 2080,2080 - 2081,2081 - 2082,2082 - 2083,2083 - 2084,2084 - 2085,2085 - 2086,2086 - 2087,2087 - 2088,2088 - 2089,2089 - 2090,2090 - 2091,2091 - 2092,2092 - 2093,2093 - 2094,2094 - 2095,2095 - 2096,2096 - 2097,2097 - 2098,2098 - 2099,2099 - 2100,2100 - 2101,2101 - 2102,2102 - 2103,2103 - 2104,2104 - 2105,2105 - 2106,2106 - 2107,2107 - 2108,2108 - 2109,2109 - 2110,2110 - 2111,2111 - 2112,2112 - 2113,2113 - 2114
1,Birth, ,356.415225,348.3873198,340.4951633,333.097146,326.2674375,319.3815305,312.9238263,306.707144,301.1250668,295.2342819,290.1321202,285.1761782,280.4629463,275.635839,271.3790301,267.1628961,262.9747647,259.5166259,255.8111233,252.321234,249.3108921,246.0852262,242.6946753,239.948735,237.1813612,234.2233038,231.5876204,228.6163849,226.0511262,223.4547246,220.5862204,217.8892294,215.569624,212.915514,210.1230397,207.8536566,205.184293,202.7724275,200.3714092,197.9796158,195.5932921,193.2032101,191.0398056,188.4259686,186.2494439,184.2687046,182.0280888,179.7494253,177.6476766,175.4996276,173.5265262,171.2879657,169.2354319,167.152541,165.2736356,163.1657216,161.2790586,159.4056973,157.3369742,155.5162925,153.9471843,151.7721057,150.0726814,148.4170626,146.5900762,144.8064251,142.8468334,141.3447031,139.445814,137.9919529,136.3418593,134.7035573,133.0700007,131.4381011,130.0136105,128.1647893,126.7278451,125.2792116,123.8223306,122.3543733,120.6681688,119.3882339,118.1004475,116.39085,115.0911757,113.9959916,112.2832082,111.1884675,109.4867401,108.4041764,107.128192,105.8625976,104.6109767,103.1718791,102.1497794,100.7397637,99.74611903,98.56499781,97.19630654
1,0,83.98740189,77.91107833,76.13749037,74.00911052,72.69852265,71.30055374,69.77175189,68.33116227,66.92755574,65.62697196,64.46235867,63.38609483,62.37647101,60.86213272,60.02306149,59.40374706,58.50768828,57.56792588,56.58198474,55.78759786,54.94031318,54.27809528,53.80436684,53.04231264,52.48423386,51.90981913,50.85972957,50.29245648,49.74390027,49.22198073,48.73680859,48.29364366,47.66101842,47.06551087,46.50260698,45.73886955,45.44688875,44.94387098,44.22617174,43.74103055,43.03299234,42.55237714,42.07291213,41.8174399,41.33749254,40.85714703,40.37417892,39.88522913,39.16482685,38.43691374,38.14609956,37.84476301,37.31049102,36.98892436,36.65887482,35.88123092,35.5413975,35.19883516,34.85622352,34.51595712,34.17986179,33.63442613,33.31280834,32.78488295,32.26761176,31.97363667,31.47566644,31.19969182,30.93112211,30.4578513,29.99061209,29.73933787,29.49109948,29.03475228,28.78982899,28.33512264,27.88017395,27.63382254,27.38566225,27.13480467,26.67358513,26.41851293,25.95334419,25.69397031,25.43284952,25.16976698,24.69992168,24.43614619,24.17193209,23.90816811,23.64564956,23.38446397,23.12544438,22.86868417,22.61481816,22.36395012,22.11595395,21.87105907,21.62926439,21.39031019
1,1,25.01946296,23.09698249,22.73610256,22.26862895,21.83874906,21.43168529,20.58335654,20.25218796,19.70400736,19.4067756,18.89961196,18.67082851,18.46797366,18.04433131,17.85541936,17.65220798,17.44232526,17.22268446,16.74765411,16.5017703,16.48325011,16.20655374,16.15430983,15.84538743,15.76269972,15.4307799,15.3319967,15.23090045,14.89865423,14.57408958,14.48928713,14.4144309,14.12352159,14.0720717,13.80434045,13.77245644,13.5220714,13.50259587,13.03780965,13.02598009,12.79148312,12.55779951,12.32484712,12.31629132,12.08353752,11.85107006,11.8420935,11.60887901,11.59715067,11.36011797,11.34346683,11.32354476,11.07868749,11.05236167,10.80237388,10.7706274,10.73624337,10.48199717,10.44556879,10.40871556,10.15599171,10.12089081,10.08717898,9.841340476,9.812077387,9.572553574,9.336493595,9.315343429,9.085223623,9.068764434,9.054061168,8.620272779,8.608706972,8.388153411,8.378051182,8.36804328,8.148954531,8.138700145,8.127929441,7.908329969,7.896202342,7.883294055,7.66234331,7.647898998,7.632579977,7.410640032,7.394155741,7.377109648,7.155283973,7.13796254,7.120478496,6.900120752,6.883315653,6.866841838,6.850750359,6.634192629,6.619753344,6.60590568,6.392954964,6.380857428
1,2,15.51198359,14.24355268,13.82847505,13.66609021,13.29091726,12.94051149,12.60331079,12.2916742,11.9980899,11.71901159,11.4464224,11.1914621,10.95937408,10.9809838,10.77550082,10.56645822,10.34850392,10.36739142,10.13946594,10.1455647,9.902066151,9.891029801,9.629458439,9.598587088,9.318885079,9.270484205,8.978824152,8.68683264,8.629838249,8.5737458,8.520300191,8.470967476,8.199615074,8.163839181,8.134251299,8.110373167,7.866971755,7.852727701,7.841467923,7.608851332,7.601978303,7.596101859,7.367271899,7.362078158,7.356990144,7.128854037,7.123617017,7.118261009,6.890021915,6.883107079,6.874635478,6.864588246,6.631534272,6.617958492,6.602301562,6.584723442,6.346594067,6.326421536,6.305375877,6.283543832,6.261470366,6.024355609,6.003623616,5.983711483,5.964858462,5.947197383,5.719175761,5.493669602,5.481288777,5.470240838,5.250358074,5.241881374,5.234199,5.227216653,5.220634453,5.005798383,4.999843755,4.993799366,4.987541537,4.7734381,4.766710949,4.759431434,4.751683232,4.743353634,4.528603276,4.519569737,4.305069527,4.29552386,4.285661808,4.275592475,4.062175661,4.052266129,4.042388486,4.032575142,4.022963073,3.812910515,3.804291241,3.796044522,3.788135559,3.780605494
1,3,12.14420168,10.75355539,10.56936446,10.32089379,10.13937937,9.801459192,9.724599347,9.412764191,9.120233478,9.080611938,8.335973058,8.311762331,8.062450795,7.82957158,7.844945834,7.630657119,7.652573178,7.429278066,7.442798492,7.212006549,7.216326216,6.974389561,6.966665706,6.952019082,6.929824771,6.662558089,6.628113142,6.588669371,6.546828529,6.504080149,6.461975888,6.421826872,6.384807806,6.125240756,6.09860771,6.076578391,6.058810857,6.044947543,5.810549276,5.80225038,5.795744586,5.790504019,5.786032518,5.55941008,5.555506173,5.551694044,5.325758921,5.100106215,5.09628658,5.092010414,5.086919981,4.859794917,4.85271995,4.844246466,4.834367961,4.822974899,4.810194113,4.578135696,4.563649877,4.548536129,4.532837168,4.516974144,4.501192816,4.272144125,4.045135193,4.03242922,4.02053435,4.009614634,3.999680026,3.99069957,3.773070756,3.76628132,3.760223107,3.754732527,3.749750017,3.745045617,3.532753823,3.528559538,3.524309443,3.519909228,3.515287364,3.510351407,3.505010103,3.293482199,3.287729781,3.281580081,3.275057774,3.268194139,3.260973686,3.253513795,3.043028422,3.035705974,3.02832697,3.020971585,3.013663952,2.806066716,2.799552072,2.793245931,2.588125679,2.582757511
1,4,10.44281164,9.475955946,9.307996966,9.087137277,8.562764452,8.126697679,8.05345542,7.748821937,7.692862466,7.411019948,7.140901896,7.117268867,6.86012211,6.85009165,6.617445477,6.630388967,6.41319503,6.431542189,6.206509674,6.217760315,6.225740564,5.989860364,5.988655092,5.982049067,5.969522008,5.950539119,5.688416961,5.659136086,5.625602115,5.589988331,5.553627213,5.517824873,5.483671226,5.452166327,5.424329474,5.17580872,4.932956635,4.918597216,4.907384275,4.898533557,4.669219173,4.66402372,4.659811566,4.656226372,4.652811628,4.649546005,4.425121414,4.421912344,4.418668876,4.194603091,4.191096347,3.966557513,3.961712252,3.955965706,3.949074491,3.94105064,3.931796438,3.703550398,3.692754165,3.681119753,3.668980282,3.656362178,3.643604082,3.630926954,3.618499472,3.394440331,3.383815633,3.373868963,3.36473755,3.356429766,3.348919764,3.342211082,3.336224728,3.122684009,3.118140092,3.114016604,3.110123244,3.106413294,3.102737856,3.099013481,2.888813688,2.885033477,2.675210879,2.671154206,2.666830779,2.662183277,2.657220588,2.651957144,2.442847546,2.43746877,2.431911543,2.42623733,2.420418652,2.414554937,2.40871473,2.402907518,2.39720007,2.391653131,2.187426671,2.182712914
1,5,9.564742886,8.947680253,8.496497555,8.116243153,7.864464299,7.559260948,7.364149846,7.055051295,7.000468307,6.710412163,6.673196866,6.407092414,6.385952796,6.131685011,6.122746947,5.890405472,5.901891674,5.919920057,5.699331753,5.711389224,5.483318791,5.490321518,5.493573713,5.492484848,5.247891302,5.236935631,5.220358449,5.198377161,5.171688298,5.141135864,4.876485587,4.844849464,4.813709444,4.556203043,4.530093411,4.507042254,4.487575027,4.471452015,4.458473775,4.448349106,4.440339597,4.212327932,3.986207721,3.982609273,3.979562734,3.976643845,3.753082495,3.750532245,3.747820202,3.745079076,3.74228429,3.739164671,3.515703108,3.511420896,3.50634978,3.500259238,3.493167583,3.485003594,3.475812688,3.465701469,3.238887377,3.228229359,3.217158177,3.2059708,3.19484735,3.18394274,3.173488256,3.163582525,3.154302153,2.936075348,2.928845784,2.922310379,2.91646616,2.911262635,2.69897688,2.695060162,2.691500242,2.481363923,2.478417118,2.475492623,2.472529171,2.469455917,2.466233158,2.462786273,2.459061745,2.455092271,2.246589779,2.242408428,2.237978495,2.233316617,2.228412256,2.223345124,2.218171259,2.212865601,2.207509949,2.202188976,1.997183971,1.99245259,1.987854211,1.983391083
1,6,8.757131893,7.819391602,7.713333944,7.529801543,6.937186092,6.892511286,6.566163828,6.610016378,6.308444095,6.259750766,5.975771831,5.942702836,5.917103743,5.661726024,5.645411692,5.637216906,5.405202155,5.41570224,5.196019849,5.210800568,5.221783381,4.993425323,4.999785723,5.002727678,5.001750613,4.996240923,4.748405723,4.496743411,4.477868723,4.454938299,4.428677317,4.400796776,4.37232914,4.344277101,4.31755381,4.292863679,4.046280457,3.805021733,3.791384636,3.780407261,3.771843411,3.765060241,3.759722754,3.755578138,3.531463129,3.528776066,3.526194113,3.523701296,3.521312745,3.518772652,3.296442479,3.293995705,3.291256448,3.287973907,3.283978781,3.279254778,3.27357245,3.266948931,3.0420366,3.034033184,3.025241317,3.015753001,3.005852825,2.995562288,2.985170101,2.974843449,2.964707278,2.743924318,2.52497091,2.517575826,2.510796425,2.504628344,2.499052443,2.494066201,2.489626556,2.4856351,2.482041396,2.272206168,2.269365424,2.266676558,2.264008035,2.26130395,2.258499658,2.255558928,2.252413666,2.249015034,2.041266238,2.037726468,2.033942431,2.029929277,2.025710315,2.021271865,2.016690127,2.012007662,2.007205869,2.002354769,1.997539032,1.992750374,1.789239514,1.785122787
1,7,8.044041125,7.272471634,6.820443304,6.729410408,6.570541213,6.227720043,6.163898049,6.064281383,5.860491011,5.808367437,5.763633394,5.483907117,5.453622865,5.430201838,5.177043108,5.162150176,5.154675408,4.922978824,4.93251845,4.947497626,4.725272648,4.735207213,4.7437205,4.74974767,4.514908704,4.276448647,4.271749732,4.262857251,4.249422197,4.231639972,4.21001422,4.185258126,4.158974489,3.902573403,3.877595708,3.853800414,3.831814883,3.812402868,3.572712515,3.559930314,3.54965524,3.541640842,3.535278768,3.309629035,3.305996416,3.303004413,3.300497055,3.29809502,3.295768892,3.293540051,3.071758472,3.069509032,3.067242724,3.064697963,3.061648479,3.057930305,3.053541672,3.048262708,2.824821928,2.818238774,2.810829043,2.80270871,2.579020101,2.570572938,2.561792572,2.552914471,2.544108481,2.535464814,2.316574671,2.309376699,2.302628136,2.296441351,2.290817155,2.285728534,2.28117327,2.277116839,2.273474137,2.270199096,2.267213821,2.058532308,2.056098594,2.053683281,2.051235767,2.048697541,2.046035806,2.043188928,2.040112696,2.036829959,2.033305545,2.029537895,1.822987877,1.81920719,1.815226117,1.811120279,1.806927761,1.802621011,1.798273657,1.79395795,1.789666466,1.785445052
1,8,7.201747967,6.763815092,6.525553584,6.31517841,6.231896042,6.086142322,5.752799888,5.676133985,5.565463155,5.602431943,5.311302694,5.270496241,5.232825036,5.20398436,4.946157542,4.929936216,4.915776365,4.674928824,4.67739974,4.686441889,4.465618265,4.242541377,4.251449626,4.259064709,4.264463045,4.029887542,4.029094805,4.024687909,4.016320436,4.003692818,3.986988346,3.966670633,3.943391456,3.918694015,3.893447785,3.64102249,3.618738734,3.598133468,3.579946927,3.56458584,3.551853735,3.541625163,3.533646944,3.527321308,3.302175473,3.078655243,3.075875251,3.073538807,3.071306973,3.069145659,3.067074734,3.064872403,2.843873531,2.841778516,2.839426086,2.836607069,2.833169881,2.829112877,2.824232786,2.601733188,2.595688993,2.373134393,2.366288562,2.358895179,2.351190985,2.34318251,2.335074733,2.327037639,2.319143688,2.31157025,2.304403296,2.297688525,2.291518673,2.078107758,2.07350578,2.06938653,2.065718777,2.062416988,2.059448027,2.056749842,2.0541853,2.051761848,2.049356707,2.046919489,1.839952734,1.837567224,1.835015771,1.832258748,1.829316628,1.826157886,1.822781118,1.819196158,1.815431165,1.811466583,1.807377716,1.8032061,1.599040576,1.595192091,1.591368418,1.587566182
